ticker,name,current_price,price_change,pct_change,scraped_at
BARBA,BARBA: Barbarella,27.18,0.1,-0.0,2026-03-03T12:19:38
BRNEY,BRNEY: Barney,4.94,-0.03,-1.0,2026-03-03T12:19:38
BATON,BATON: Baton,5.4,-0.38,-7.0,2026-03-03T12:19:38
BGALW,BGALW: Battle Of Galwan,1.35,0.02,2.0,2026-03-03T12:19:38
BGALA,BGALA: Battlestar Galactica,1.96,0.0,0.0,2026-03-03T12:19:38
BEARC,BEARC: Bear Country,9.7,0.02,0.0,2026-03-03T12:19:38
BUTIF,BUTIF: Beautiful,3.74,-0.03,-1.0,2026-03-03T12:19:38
BEDFP,BEDFP: Bedford Park,1.52,-0.01,-1.0,2026-03-03T12:19:38
BEHEM,BEHEM: Behemoth!,15.9,-0.09,-1.0,2026-03-03T12:19:38
BMRTL,BMRTL: Being Mortal,0.15,0.0,0.0,2026-03-03T12:19:38
BELYB,BELYB: Belly of the Beast,3.91,0.01,0.0,2026-03-03T12:19:38
BSTRM,BSTRM: Beneath the Storm,4.72,0.01,-0.0,2026-03-03T12:19:38
BTRIA,BTRIA: Bermuda,0.83,-0.01,-1.0,2026-03-03T12:19:38
BTMTN,BTMTN: Big Thunder Mountain,19.95,0.02,0.0,2026-03-03T12:19:38
HMHAS,HMHAS: Billie Eilish - Hit Me...,24.08,0.01,0.0,2026-03-03T12:19:38
BDSPY,BDSPY: Billion Dollar Spy,6.44,0.0,0.0,2026-03-03T12:19:38
BITRC,BITRC: Bitter Christmas,1.0,0.01,1.0,2026-03-03T12:19:38
BPNT3,BPNT3: Black Panther 3,242.12,0.0,0.0,2026-03-03T12:19:38
BLAD1,BLAD1: Blade,28.05,0.1,0.0,2026-03-03T12:19:38
BOTGS,BOTGS: Blades of the Guardians,1.9,0.0,0.0,2026-03-03T12:19:38
BLOSN,BLOSN: Blood on Snow,17.6,0.0,0.0,2026-03-03T12:19:38
BLUEY,BLUEY: Bluey the Movie,137.04,0.11,-0.0,2026-03-03T12:19:38
BOBTB,BOBTB: Bob the Builder,14.67,0.0,0.0,2026-03-03T12:19:38
BOUNA,BOUNA: Boiuna: Legend of the Amazon,19.13,-0.87,-4.0,2026-03-03T12:19:38
VIAGR,VIAGR: Boner aka Rise,2.34,0.01,-0.0,2026-03-03T12:19:38
BORD2,BORD2: Border 2,3.44,0.12,4.0,2026-03-03T12:19:38
BOYBN,BOYBN: Boy Band,19.6,0.06,0.0,2026-03-03T12:19:38
BRAND,BRAND: Branded,0.05,0.0,0.0,2026-03-03T12:19:38
BRAT2,BRAT2: Bratz,15.13,0.02,0.0,2026-03-03T12:19:38
BRIAN,BRIAN: Brian,2.9,-0.02,-1.0,2026-03-03T12:19:38
BRIDS,BRIDS: Brides,3.67,0.02,1.0,2026-03-03T12:19:38
BRTWT,BRTWT: Brightwater,0.04,0.0,0.0,2026-03-03T12:19:38
BROSW,BROSW: Broadsword,56.49,0.05,0.0,2026-03-03T12:19:38
BRLEE,BRLEE: Bruce Lee,11.4,0.02,0.0,2026-03-03T12:19:38
BUBSQ,BUBSQ: Bubble & Squeak,0.53,0.0,0.0,2026-03-03T12:19:38
BUCFA,BUCFA: Bucking Fastard,1.91,0.0,0.0,2026-03-03T12:19:38
BUDS,BUDS: Buds,36.29,-0.74,-2.0,2026-03-03T12:19:38
BULK,BULK: Bulk,0.81,0.0,0.0,2026-03-03T12:19:38
BULIT,BULIT: Bullitt,20.67,0.0,0.0,2026-03-03T12:19:38
BUNKR,BUNKR: Bunker,5.24,0.02,-0.0,2026-03-03T12:19:38
BNYLV,BNYLV: Bunnylovr,0.45,0.01,2.0,2026-03-03T12:19:38
BFJAM,BFJAM: Butterfly Jam,1.52,0.01,1.0,2026-03-03T12:19:38
BYALL,BYALL: By All,1.36,-0.01,-1.0,2026-03-03T12:19:38
CI34,CI34: By Any Means aka CI-34,19.51,0.04,0.0,2026-03-03T12:19:38
BYDSG,BYDSG: By Design,0.13,-0.01,-7.0,2026-03-03T12:19:38
